"","Analysis","Calculus 1","Calculus 2","Caps","Complex","Linalg1","Linalg 2","Nummat 1","Ode","Prob","Stat","Statr"
"1",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA
"3",NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
"5",NA,NA,9,NA,NA,NA,NA,NA,8,9,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA
"7",NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,9.5
"9",NA,4.5,3.5,5,NA,NA,3.5,NA,NA,NA,NA,NA
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,3.5,3.5
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,NA
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA
"13",NA,9.5,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA
"14",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,9.5
"16",NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,5,NA,6,NA,NA,NA,NA,NA,NA,NA
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA
"19",NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA
"20",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",NA,NA,NA,NA,NA,NA,NA,8.5,NA,NA,NA,NA
"22",NA,NA,NA,NA,8.5,NA,NA,NA,NA,NA,8.5,8.5
"23",NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA
"24",NA,6,NA,NA,NA,4.5,7,NA,NA,NA,NA,NA
"25",NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA
"26",NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",6,7.5,6.5,7,6,8,6,4.5,6.5,4,6.5,6.5
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA
"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,7
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA
"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,NA
"33",NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
"34",NA,8.5,9.5,NA,NA,NA,9.5,NA,NA,NA,NA,NA
"35",6,NA,NA,NA,NA,NA,NA,NA,NA,6.5,NA,NA
"36",NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
"37",NA,NA,NA,NA,7,NA,NA,5,NA,NA,6,NA
"38",NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",NA,NA,NA,NA,NA,NA,NA,NA,6,6,1.5,1.5
"40",NA,NA,NA,NA,NA,NA,NA,NA,6,6,1.5,1.5
"41",NA,NA,NA,NA,NA,NA,NA,NA,6,6,1.5,1.5
"42",NA,NA,NA,NA,NA,NA,NA,NA,6,6,1.5,1.5
